2218
1,11876,0,0
1,11874,0,0
2,1,1,0
3,1,0,1
7,1,6,10
11,1,1,0
13,1,0,2
14,1,1,0
20,1,0,1
25,1,1,0
34,1,1,0
37,1,0,1
37,11816,0,0
43,1,3,7
44,1,0,1
44,11817,0,0
51,1,21,6
52,1,3,0
53,1,1,0
58,1,1,0
61,1,1,2
61,1211,0,0
62,1,2,1
64,1,2,1
76,1,7,1
77,1,2,0
81,1,8,5
81,11819,0,0
86,1,1,0
86,1218,0,0
88,1,1,0
88,11819,0,0
95,1,3,1
96,1,1,0
99,1,2,1
100,1,1,0
109,1,3,0
109,11820,0,0
115,1,13,4
116,1,1,0
116,1797,0,0
116,11823,0,0
120,1,0,1
125,1,1,0
126,1,1,0
131,1,3,4
136,1,2,0
139,1,3,3
139,11824,0,0
153,1,0,1
154,1,0,1
155,1,1,0
158,1,0,2
160,1,6,4
163,1,1,0
164,1,6,1
165,1,0,1
167,1,1,0
167,1222,0,0
180,1,1,2
184,1,5,2
184,11825,0,0
189,1,5,0
191,1,2,0
192,1,1,0
196,1,4,3
196,3200,0,0
199,1,1,1
201,1,1,0
202,1,1,0
209,1,1,1
211,1,0,9
214,1,15,5
216,1,2,0
220,1,1,0
222,1,1,0
224,1,1,1
225,1,1,0
228,1,1,0
229,1,0,1
230,1,2,1
233,1,1,0
234,1,1,0
238,1,0,1
240,1,0,1
244,1,1,0
245,1,1,0
248,1,1,0
255,1,1,0
257,1,1,1
258,1,10,7
259,1,5,4
261,1,4,0
261,2357,0,0
263,1,0,3
264,1,1,0
266,1,1,0
269,1,2,0
271,1,1,0
271,11828,0,0
277,11829,0,0
277,1,1,0
288,1,1,0
290,1,1,0
291,1,1,0
293,1,1,0
294,11830,0,0
294,1,1,1
300,1,3,12
301,300,0,0
301,1,3,3
302,1,1,0
306,1,1,0
307,1,1,0
307,498,0,0
311,1,2,0
312,1,12,9
313,1,1,0
314,11831,0,0
314,1,1,0
315,1,1,0
315,314,0,0
316,1,0,2
316,317,0,0
317,4935,0,0
317,1,44,46
322,1,1,0
325,1,1,0
329,1,1,0
330,1,1,0
331,1,0,1
333,1,0,3
337,1,1,0
338,1,1,0
341,1,1,2
341,11816,0,0
342,1,1,1
343,1,1,0
348,1,3,2
353,3466,0,0
353,1,2,0
353,1211,0,0
353,11832,0,0
353,11833,0,0
356,1,14,2
357,1,0,1
359,1,3,0
362,1,0,1
364,1,2,0
367,1,1,1
367,11834,0,0
368,1,2,2
369,1,0,1
370,1,0,1
371,1,1,0
371,370,0,0
376,11837,0,0
376,1,1,1
378,1,1,1
379,1,1,1
383,1,7,8
384,1,1,1
385,1,5,0
385,11838,0,0
388,1,1,0
388,11839,0,0
388,11840,0,0
389,1,10,8
394,389,0,0
394,1,2,0
396,1,2,0
397,1,1,1
398,1,27,39
398,2357,0,0
405,1,2,1
406,1,0,1
408,1,2,9
408,11842,0,0
410,1,1,0
414,1,1,0
420,1,1,0
425,1,1,0
429,1,4,0
442,1,0,2
447,1,1,0
449,1,1,1
452,1,1,0
453,1,0,5
458,1,1,0
459,1,1,0
461,1,1,0
464,1,2,0
468,1,4,3
470,1,4,0
471,1,0,1
472,1,1,0
